exp_name,z_dim,g_use_bn,d_use_bn,g_activation,d_activation,label_smooth_factor,lr,beta1,inception_score_mean,inception_score_std,frechet_inception_distance,G_loss_final,D_loss_final
baseline,100,True,True,relu,leaky_relu,0.0,0.0002,0.5,3.0633028494087062,0.0872055591540232,247.00436109572507,2.9225685596466064,0.5001327991485596
z_dim_64,64,True,True,relu,leaky_relu,0.0,0.0002,0.5,3.469572949799425,0.2349681776034503,234.3145847875516,3.5467770099639893,0.8402724266052246
z_dim_128,128,True,True,relu,leaky_relu,0.0,0.0002,0.5,2.8134458820620147,0.148763306646919,246.498762183802,2.81085205078125,0.4681586027145386
no_bn_generator,100,False,True,relu,leaky_relu,0.0,0.0002,0.5,2.648809502160134,0.12946924100988433,289.8164148166585,5.844398498535156,0.1476154923439026
no_bn_discriminator,100,True,False,relu,leaky_relu,0.0,0.0002,0.5,1.8400496879076946,0.06414469159018342,310.4963962406738,1.5772095918655396,1.3234739303588867
no_bn_both,100,False,False,relu,leaky_relu,0.0,0.0002,0.5,1.5992266569629603,0.02564468441106043,337.5599030480357,2.1920673847198486,0.8787273168563843
label_smooth_0.1,100,True,True,relu,leaky_relu,0.1,0.0002,0.5,2.7729744852923184,0.1231835273411456,243.19849374542224,2.983086109161377,0.6351145505905151
label_smooth_0.2,100,True,True,relu,leaky_relu,0.2,0.0002,0.5,3.1760566648474566,0.12854498289333133,237.63441825785674,2.7450411319732666,0.8933342695236206
g_leaky_relu,100,True,True,leaky_relu,leaky_relu,0.0,0.0002,0.5,3.2885871615284428,0.17647024235892905,226.6197871047717,2.748911142349243,0.40555089712142944
g_tanh_hidden,100,True,True,tanh,leaky_relu,0.0,0.0002,0.5,3.0111554309721216,0.13115597596114592,257.889388882337,3.0233514308929443,0.33167922496795654
d_relu,100,True,True,relu,relu,0.0,0.0002,0.5,3.475555861097406,0.2647410448916336,236.37499704102032,1.8360273838043213,0.43715518712997437
d_tanh_hidden,100,True,True,relu,tanh,0.0,0.0002,0.5,2.0121072766465806,0.09424368779890586,282.2532977359901,2.1639773845672607,0.9317963123321533
